"yearid","name","num_wins","total_salaries","win_rank","salary_rank"
2000,"San Francisco Giants","97","$53,737,826.00","1","17"
2000,"St. Louis Cardinals","95","$61,453,863.00","2","11"
2000,"Atlanta Braves","95","$84,537,836.00","2","3"
2000,"Chicago White Sox","95","$31,133,500.00","2","26"
2000,"New York Mets","94","$79,509,776.00","5","6"
2000,"Oakland Athletics","91","$31,971,333.00","6","25"
2000,"Seattle Mariners","91","$58,915,000.00","6","14"
2000,"Cleveland Indians","90","$75,880,771.00","8","8"
2000,"New York Yankees","87","$92,338,260.00","9","1"
2000,"Los Angeles Dodgers","86","$87,924,286.00","10","2"
2000,"Cincinnati Reds","85","$46,867,200.00","11","21"
2000,"Arizona Diamondbacks","85","$81,027,833.00","11","5"
2000,"Boston Red Sox","85","$77,940,333.00","11","7"
2000,"Toronto Blue Jays","83","$44,838,332.00","14","22"
2000,"Colorado Rockies","82","$61,111,190.00","15","12"
2000,"Anaheim Angels","82","$51,464,167.00","15","18"
2000,"Detroit Tigers","79","$58,265,167.00","17","15"
2000,"Florida Marlins","79","$19,872,000.00","17","29"
2000,"Kansas City Royals","77","$23,433,000.00","19","28"
2000,"San Diego Padres","76","$54,821,000.00","20","16"
2000,"Baltimore Orioles","74","$81,447,435.00","21","4"
2000,"Milwaukee Brewers","73","$36,505,333.00","22","23"
2000,"Houston Astros","72","$51,289,111.00","23","19"
2000,"Texas Rangers","71","$70,795,921.00","24","9"
2000,"Minnesota Twins","69","$16,519,500.00","25","30"
2000,"Tampa Bay Devil Rays","69","$62,765,129.00","25","10"
2000,"Pittsburgh Pirates","69","$28,928,334.00","25","27"
2000,"Montreal Expos","67","$32,994,333.00","28","24"
2000,"Chicago Cubs","65","$60,539,333.00","29","13"
2000,"Philadelphia Phillies","65","$47,308,000.00","29","20"
2001,"Seattle Mariners","116","$74,720,834.00","1","11"
2001,"Oakland Athletics","102","$33,810,750.00","2","29"
2001,"New York Yankees","95","$112,287,143.00","3","1"
2001,"Houston Astros","93","$60,612,667.00","4","17"
2001,"St. Louis Cardinals","93","$78,538,333.00","4","9"
2001,"Arizona Diamondbacks","92","$85,082,999.00","6","8"
2001,"Cleveland Indians","91","$93,152,001.00","7","5"
2001,"San Francisco Giants","90","$63,280,167.00","8","16"
2001,"Atlanta Braves","88","$91,936,166.00","9","6"
2001,"Chicago Cubs","88","$64,715,833.00","9","15"
2001,"Philadelphia Phillies","86","$41,663,833.00","11","24"
2001,"Los Angeles Dodgers","86","$109,105,953.00","11","3"
2001,"Minnesota Twins","85","$24,130,000.00","13","30"
2001,"Chicago White Sox","83","$65,653,667.00","14","14"
2001,"New York Mets","82","$93,174,428.00","15","4"
2001,"Boston Red Sox","82","$110,035,833.00","15","2"
2001,"Toronto Blue Jays","80","$76,895,999.00","17","10"
2001,"San Diego Padres","79","$39,182,833.00","18","25"
2001,"Florida Marlins","76","$35,762,500.00","19","26"
2001,"Anaheim Angels","75","$47,535,167.00","20","22"
2001,"Colorado Rockies","73","$71,541,334.00","21","12"
2001,"Texas Rangers","73","$88,633,500.00","21","7"
2001,"Milwaukee Brewers","68","$43,886,833.00","23","23"
2001,"Montreal Expos","68","$35,159,500.00","23","28"
2001,"Cincinnati Reds","66","$48,986,000.00","25","21"
2001,"Detroit Tigers","66","$53,416,167.00","25","20"
2001,"Kansas City Royals","65","$35,422,500.00","27","27"
2001,"Baltimore Orioles","63","$67,599,540.00","28","13"
2001,"Tampa Bay Devil Rays","62","$56,980,000.00","29","19"
2001,"Pittsburgh Pirates","62","$57,760,833.00","29","18"
2002,"Oakland Athletics","103","$40,004,167.00","1","28"
2002,"New York Yankees","103","$125,928,583.00","1","1"
2002,"Atlanta Braves","101","$92,870,367.00","3","7"
2002,"Anaheim Angels","99","$61,721,667.00","4","15"
2002,"Arizona Diamondbacks","98","$102,819,999.00","5","4"
2002,"St. Louis Cardinals","97","$74,660,875.00","6","13"
2002,"San Francisco Giants","95","$78,299,835.00","7","10"
2002,"Minnesota Twins","94","$40,425,000.00","8","27"
2002,"Seattle Mariners","93","$80,282,668.00","9","8"
2002,"Boston Red Sox","93","$108,366,060.00","9","2"
2002,"Los Angeles Dodgers","92","$94,850,953.00","11","5"
2002,"Houston Astros","84","$63,448,417.00","12","14"
2002,"Montreal Expos","83","$38,670,500.00","13","29"
2002,"Chicago White Sox","81","$57,052,833.00","14","18"
2002,"Philadelphia Phillies","80","$57,954,999.00","15","17"
2002,"Florida Marlins","79","$41,979,917.00","16","25"
2002,"Cincinnati Reds","78","$45,050,390.00","17","23"
2002,"Toronto Blue Jays","78","$76,864,333.00","17","11"
2002,"New York Mets","75","$94,633,593.00","19","6"
2002,"Cleveland Indians","74","$78,909,449.00","20","9"
2002,"Colorado Rockies","73","$56,851,043.00","21","19"
2002,"Texas Rangers","72","$105,526,122.00","22","3"
2002,"Pittsburgh Pirates","72","$42,323,599.00","22","24"
2002,"Baltimore Orioles","67","$60,493,487.00","24","16"
